Chakana sotuvchi,Sotuvchi ID,Hisob-faktura sanasi,Hudud,Viloyat,Shahar,Mahsulot,Birlik narxi (so'm),Sotilgan birlik,Jami savdo (so'm),Operatsion foyda (so'm),Operatsion marja,Sotuv usuli
SneakerPro,1185732,2020-02-03,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,569250,825,4696312500,1643709375,0.35,Outlet do'kon
SneakerPro,1185732,2020-02-04,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,759000,825,6261750000,1878525000,0.3,Outlet do'kon
SneakerPro,1185732,2020-02-05,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,632500,950,6008750000,1502187500,0.25,Outlet do'kon
SneakerPro,1185732,2020-02-06,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,759000,1220,9259800000,4629900000,0.5,Outlet do'kon
SneakerPro,1185732,2020-02-07,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,695750,925,6435687500,1930706250,0.3,Outlet do'kon
SneakerPro,1185732,2020-02-08,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,632500,900,5692500000,1992375000,0.35,Outlet do'kon
SneakerPro,1185732,2020-01-01,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,632500,1200,4838625000,1692570000,0.5,Do'konda
SneakerPro,1185732,2020-01-02,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,632500,1000,6325000000,1897500000,0.3,Do'konda
SneakerPro,1185732,2020-01-03,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,506000,1000,5060000000,1771000000,0.35,Do'konda
SneakerPro,1185732,2020-01-04,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,569250,850,4838625000,1693518750,0.35,Do'konda
SneakerPro,1185732,2020-01-05,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,759000,900,6831000000,2049300000,0.3,Do'konda
SneakerPro,1185732,2020-01-06,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,632500,1000,6325000000,1581250000,0.25,Do'konda
SneakerPro,1185732,2020-01-07,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,632500,1250,7906250000,3953125000,0.5,Do'konda
SneakerPro,1185732,2020-01-08,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,632500,900,5692500000,1707750000,0.3,Outlet do'kon
SneakerPro,1185732,2020-01-21,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,506000,950,4807000000,1682450000,0.35,Outlet do'kon
SneakerPro,1185732,2020-01-22,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,569250,825,4696312500,1643709375,0.35,Outlet do'kon
SneakerPro,1185732,2020-01-23,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,759000,900,6831000000,2049300000,0.3,Outlet do'kon
SneakerPro,1185732,2020-01-24,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,632500,1000,6325000000,1581250000,0.25,Outlet do'kon
SneakerPro,1185732,2020-01-25,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,632500,1220,7716500000,3858250000,0.5,Outlet do'kon
SneakerPro,1185732,2020-01-26,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,632500,925,5850625000,1755187500,0.3,Outlet do'kon
SneakerPro,1185732,2020-01-27,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun kundalik poyabzal,506000,950,4807000000,1682450000,0.35,Outlet do'kon
SneakerPro,1185732,2020-01-28,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar uchun sport poyabzali,569250,800,4554000000,1593900000,0.35,Outlet do'kon
SneakerPro,1185732,2020-01-29,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar kiyimi,759000,850,6451500000,1935450000,0.3,Outlet do'kon
SneakerPro,1185732,2020-01-30,Toshkent hududi,Toshkent shahri,Chilonzor,Ayollar kiyimi,632500,950,6008750000,1502187500,0.25,Outlet do'kon
SneakerPro,1185732,2020-01-31,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun kundalik poyabzal,632500,1200,7590000000,3795000000,0.5,Outlet do'kon
SneakerPro,1185732,2020-02-01,Toshkent hududi,Toshkent shahri,Chilonzor,Erkaklar uchun sport poyabzali,632500,900,5692500000,1707750000,0.3,Outlet do'kon
